name,slug,brand_slug,category_slug,product_code,price,discount_price,currency,stock_status,short_description,description,is_featured,is_active,model-yili,renk,mensei-ulke,uretici,oem-kodu,mpn,ean,upc,motor-hacmi,silindir-sayisi,motor-tipi,sogutma-sistemi,supap-sayisi,sikistirma-orani,maksimum-guc,maksimum-guc-devri,maksimum-tork,maksimum-tork-devri,maksimum-hiz-min,Maksimum-hiz-max,sanziman-tipi,vites-sayisi,debriyaj-tipi,son-aktarma-tipi,yakit-turu,yakit-sistemi,yakit-deposu,yakit-tuketimi-min,yakit-tuketimi-max,yakit-deposu-konumu,uzunluk,genislik,yukseklik,dingil-mesafesi,sele-yuksekligi,yerden-yukseklik,bos-agirlik,tasima-kapasitesi,sele-alti-bagaj-hacmi,on-fren,arka-fren,el-freni,on-suspansiyon,arka-suspansiyon,on-lastik,arka-lastik,on-jant,arka-jant,aku,far-tipi,gosterge-paneli,telefon-baglantisi,navigasyon-destegi,usb-sarj-girisi,anahtarsiz-calistirma,duz-taban,on-cam,start-stop-sistemi,idling-stop,akilli-anahtar,arka-portbagaj,ayak-marsi,on-saklama-gozu,abs,cbs,cekis-kontrolu,immobilizer,garanti-suresi,sertifikalar,bakim-talimati,kullanim-talimati,paket-icerigi
RKS Icon 50 ST,rks-icon-50-st,rks,50cc-scooter,,93298,83302,TRY,,"Şehir içi ulaşım için kompakt, ekonomik 50cc scooter modeli.",,,TRUE,2026,Gri|Siyah|Beyaz,Çin,RKS Motor,,,,,50,1,Tek Silindir,Hava Soğutmalı,,,"2,95",7500,"2,8",5000,45,50,CVT (Sürekli Değişken),,,,Benzin,,"4,5",,,,2005,650,1180,1270,,,103,,,Disk,Disk,,Teleskopik Fork,Mono Shock,80/90-14,90/90-14,,,,,Dijital,,,,,,,,,,,,,,TRUE,,,,,,,
RKS LT50 Pro Plus,rks-lt50-pro-plus,rks,50cc-scooter,,,,TRY,,"Şehir içi ulaşım için pratik, hafif 50cc scooter modeli.",,,TRUE,2026,,Çin,RKS Motor,,,,,50,1,Tek Silindir,Hava Soğutmalı,,,"2,82",7000,"3,5",5000,45,50,CVT (Sürekli Değişken),,,,Benzin,,6,,,,1915,710,1100,1300,760,125,105,,,Disk,Kampana,,,,100/90-12,110/90-12,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,
RKS Rosa 50 Pro,rks-rosa-50-pro,rks,50cc-scooter,,95940,84378,TRY,,"Şehir içi ulaşım için ekonomik, kompakt 50cc scooter modeli.",,,TRUE,2026,,Çin,RKS Motor,,,,,50,1,Tek Silindir,Hava Soğutmalı,,,"2,15",7500,2,5500,45,50,CVT (Sürekli Değişken),,,,Benzin,,7,2,"2,35",,2060,755,1105,1370,755,130,112,,,Disk,Kampana,,,,90/90-12,100/80-12,,,,,Dijital,,,,,,,,,,,,,,TRUE,,,,,,,
