name,slug,brand_slug,category_slug,product_code,price,discount_price,currency,stock_status,short_description,description,is_featured,is_active,model-yili,renk,mensei-ulke,uretici,oem-kodu,mpn,ean,upc,motor-hacmi,silindir-sayisi,motor-tipi,sogutma-sistemi,supap-sayisi,sikistirma-orani,maksimum-guc,maksimum-guc-devri,maksimum-tork,maksimum-tork-devri,maksimum-hiz-min,Maksimum-hiz-max,sanziman-tipi,vites-sayisi,debriyaj-tipi,son-aktarma-tipi,yakit-turu,yakit-sistemi,yakit-deposu,yakit-tuketimi-min,yakit-tuketimi-max,yakit-deposu-konumu,uzunluk,genislik,yukseklik,dingil-mesafesi,sele-yuksekligi,yerden-yukseklik,bos-agirlik,tasima-kapasitesi,sele-alti-bagaj-hacmi,on-fren,arka-fren,el-freni,on-suspansiyon,arka-suspansiyon,on-lastik,arka-lastik,on-jant,arka-jant,aku,far-tipi,gosterge-paneli,telefon-baglantisi,navigasyon-destegi,usb-sarj-girisi,anahtarsiz-calistirma,duz-taban,on-cam,start-stop-sistemi,idling-stop,akilli-anahtar,arka-portbagaj,ayak-marsi,on-saklama-gozu,abs,cbs,cekis-kontrolu,immobilizer,garanti-suresi,sertifikalar,bakim-talimati,kullanim-talimati,paket-icerigi
Kuba Ege 50,kuba-ege-50,kuba,cub,,53436,49000,TRY,in_stock,"Şehir içi pratik ulaşım için hava soğutmalı, yarı otomatik şanzımanlı cub model.",,TRUE,,2026,,Çin,Kuba Motor,,,,,49,1,Tek Silindir,Hava Soğutmalı,,,2.69,5300,3.80,5000,,,Yarı Otomatik,,,,Benzin,,4,,,,1920,700,1050,1235,,,92,242,,Kampana,Kampana,,,,2.50-17,2.75-17,,,,,,,,,,,,,,,,,,,,,,24,,,,
Kuba Easy Pro 50,kuba-easy-pro-50,kuba,cub,,72000,66000,TRY,in_stock,"Şehir içi pratik ulaşım için hava soğutmalı, ön ve arka disk frenli cub model.",,TRUE,,2026,,Çin,Kuba Motor,,,,,50,1,Tek Silindir,Hava Soğutmalı,,,2.80,7500,3.80,5500,,,Yarı Otomatik,,,,Benzin,,4,,,,1850,720,1130,1240,,,101,251,,Disk,Disk,,,,2.50-17,2.75-17,,,,,,,,,,,,,,,,,,,,,,24,,,,
Kuba Sniper 50 Pro X,kuba-sniper-50-pro-x,kuba,cub,,66951,61000,TRY,in_stock,"Şehir içi pratik ulaşım için hava soğutmalı, sportif görünümlü cub model.",,TRUE,,2026,,Çin,Kuba Motor,,,,,49,1,Tek Silindir,Hava Soğutmalı,,,2.95,8000,2.60,5000,,,Yarı Otomatik,,,,Benzin,,3,,,,1890,675,1090,1230,,,95,245,,Disk,Kampana,,,,2.50-17,2.50-17,,,,,,,,,,,,,,,,,,,,,,24,,,,
Kuba Cristal 50,kuba-cristal-50,kuba,cub,,71094,65000,TRY,in_stock,"Şehir içi pratik ulaşım için hava soğutmalı, klasik görünümlü cub model.",,TRUE,,2026,,Çin,Kuba Motor,,,,,49,1,Tek Silindir,Hava Soğutmalı,,,2.69,5300,3.80,5000,,,Yarı Otomatik,,,,Benzin,,4,,,,1920,700,1050,1235,,,92,242,,Disk,Kampana,,,,2.50-17,2.50-17,,,,,,,,,,,,,,,,,,,,,,24,,,,
