name,slug,brand_slug,category_slug,product_code,price,discount_price,currency,stock_status,short_description,description,is_featured,is_active,model-yili,renk,mensei-ulke,uretici,oem-kodu,mpn,ean,upc,motor-hacmi,silindir-sayisi,motor-tipi,sogutma-sistemi,supap-sayisi,sikistirma-orani,maksimum-guc,maksimum-guc-devri,maksimum-tork,maksimum-tork-devri,maksimum-hiz-min,Maksimum-hiz-max,sanziman-tipi,vites-sayisi,debriyaj-tipi,son-aktarma-tipi,yakit-turu,yakit-sistemi,yakit-deposu,yakit-tuketimi-min,yakit-tuketimi-max,yakit-deposu-konumu,uzunluk,genislik,yukseklik,dingil-mesafesi,sele-yuksekligi,yerden-yukseklik,bos-agirlik,tasima-kapasitesi,sele-alti-bagaj-hacmi,on-fren,arka-fren,el-freni,on-suspansiyon,arka-suspansiyon,on-lastik,arka-lastik,on-jant,arka-jant,aku,far-tipi,gosterge-paneli,telefon-baglantisi,navigasyon-destegi,usb-sarj-girisi,anahtarsiz-calistirma,duz-taban,on-cam,start-stop-sistemi,idling-stop,akilli-anahtar,arka-portbagaj,ayak-marsi,on-saklama-gozu,abs,cbs,cekis-kontrolu,immobilizer,garanti-suresi,sertifikalar,bakim-talimati,kullanim-talimati,paket-icerigi
RKS SRK250RS,rks-srk250rs,rks,sport,,217710,207000,TRY,in_stock,"Tek silindirli, sıvı soğutmalı 249cc racing motosiklet modeli.",,TRUE,,2026,,Çin,RKS Motor,,,,,249,1,Tek Silindir,Sıvı Soğutmalı,,,25.47,9000,21.50,8000,,,Manuel,6,,,Benzin,,12.5,,,,2010,770,1125,1360,780,135,162,,,Disk,Disk,,,,110/70 R17,140/60 R17,,,,LED,Dijital,,,,,,,,,,,,,TRUE,,,,36,,,,
RKS R250,rks-r250,rks,sport,,229600,219000,TRY,in_stock,"Paralel ikiz motorlu, sıvı soğutmalı 248cc racing motosiklet modeli.",,TRUE,,2026,,Çin,RKS Motor,,,,,248,2,Paralel İkiz,Sıvı Soğutmalı,,,24.60,8000,23,6500,,,Manuel,6,,,Benzin,,17,,,,2070,775,1085,1400,,,180,330,,Disk,Disk,,,,120/70-17,150/70-17,,,,LED,Dijital,,,,,,,,,,,,,TRUE,,TRUE,,36,,,,
RKS SRK250RR,rks-srk250rr,rks,sport,,235000,223000,TRY,in_stock,"Paralel ikiz motorlu, sıvı soğutmalı 249cc racing motosiklet modeli.",,TRUE,,2026,,Çin,RKS Motor,,,,,249,2,Paralel İkiz,Sıvı Soğutmalı,,,25.75,8500,24.10,6500,,,Manuel,6,,,Benzin,,14.3,,,,2050,785,1130,1420,790,135,175,,,Disk,Disk,,,,110/70 R17,160/60 ZR17,,,,LED,Dijital,,,,,,,,,,,,,TRUE,,,,36,,,,
RKS SRK400RR,rks-srk400rr,rks,sport,,179400,146145,TRY,in_stock,"Paralel ikiz motorlu, sıvı soğutmalı 400cc racing motosiklet modeli.",,TRUE,,2026,,Çin,RKS Motor,,,,,400,2,Paralel İkiz,Sıvı Soğutmalı,,,40.90,9000,37,7500,,,Manuel,6,,,Benzin,,14.3,,,,2050,785,1130,1420,785,165,179,,,Disk,Disk,,,,110/70 R17,150/60 R17,,,,LED,Dijital,,,,,,,,,,,,,TRUE,,,,36,,,,
RKS SRK450RA,rks-srk450ra,rks,sport,,338960,325000,TRY,in_stock,"Otomatik şanzımanlı, paralel ikiz motorlu, sıvı soğutmalı 450cc racing motosiklet modeli.",,TRUE,,2026,,Çin,RKS Motor,,,,,450,2,Paralel İkiz,Sıvı Soğutmalı,,,46.94,9500,43,8000,,,Otomatik,6,,,Benzin,,14.5,,,,2030,750,1150,1380,785,135,,,,Disk,Disk,,,,110/70 R17,150/60 R17,,,,LED,Dijital,,,,,,,,,,,,,TRUE,,,,36,,,,
RKS SRK550RS,rks-srk550rs,rks,sport,,411720,294400,TRY,in_stock,"Paralel ikiz motorlu, sıvı soğutmalı 554cc racing motosiklet modeli.",,TRUE,,2026,,Çin,RKS Motor,,,,,554,2,Paralel İkiz,Sıvı Soğutmalı,,,55.25,8250,54,5500,,,Manuel,6,,,Benzin,,16.5,,,,2090,770,1155,1420,810,140,194,,,Disk,Disk,,,,120/70 ZR17,160/60 ZR17,,,,LED,Dijital,,,,,,,,,,,,,TRUE,,TRUE,,36,,,,
RKS M250,rks-m250,rks,sport,,173676,165000,TRY,in_stock,"Yağ soğutmalı, tek silindirli 249.9cc racing motosiklet modeli.",,TRUE,,2026,,Çin,RKS Motor,,,,,250,1,Tek Silindir,Yağ Soğutmalı,,,18.77,8000,18,6000,,,Manuel,6,,,Benzin,,18,,,,2070,680,1100,1420,,,170,320,,Disk,Disk,,,,110/70-17,140/70-17,,,,,,,,,,,,,,,,,,TRUE,,,,36,,,,
