name,slug,brand_slug,category_slug,product_code,price,discount_price,currency,stock_status,short_description,description,is_featured,is_active,model-yili,renk,mensei-ulke,uretici,oem-kodu,mpn,ean,upc,motor-hacmi,silindir-sayisi,motor-tipi,sogutma-sistemi,supap-sayisi,sikistirma-orani,maksimum-guc,maksimum-guc-devri,maksimum-tork,maksimum-tork-devri,maksimum-hiz-min,Maksimum-hiz-max,sanziman-tipi,vites-sayisi,debriyaj-tipi,son-aktarma-tipi,yakit-turu,yakit-sistemi,yakit-deposu,yakit-tuketimi-min,yakit-tuketimi-max,yakit-deposu-konumu,uzunluk,genislik,yukseklik,dingil-mesafesi,sele-yuksekligi,yerden-yukseklik,bos-agirlik,tasima-kapasitesi,sele-alti-bagaj-hacmi,on-fren,arka-fren,el-freni,on-suspansiyon,arka-suspansiyon,on-lastik,arka-lastik,on-jant,arka-jant,aku,far-tipi,gosterge-paneli,telefon-baglantisi,navigasyon-destegi,usb-sarj-girisi,anahtarsiz-calistirma,duz-taban,on-cam,start-stop-sistemi,idling-stop,akilli-anahtar,arka-portbagaj,ayak-marsi,on-saklama-gozu,abs,cbs,cekis-kontrolu,immobilizer,garanti-suresi,sertifikalar,bakim-talimati,kullanim-talimati,paket-icerigi
RKS Vieste 249,rks-vieste-249,rks,maxi-scooter-250cc,,168000,140001,TRY,in_stock,"Şehir içi ve şehir dışı kullanım için güçlü, sıvı soğutmalı 249cc maxi scooter modeli.",,TRUE,,2026,Gri|Lacivert,Çin,RKS Motor,,,,,244,1,Tek Silindir,Sıvı Soğutmalı,,,21.21,8000,21,6200,,,CVT (Sürekli Değişken),,,,Benzin,,11.5,,,,1930,800,1130,1390,,,147,,,Disk,Disk,,,,110/70-13,130/70-13,,,,,Dijital,,,,,,,,,,,,,TRUE,,,,36,,,,
RKS Fort 250,rks-fort-250,rks,maxi-scooter-250cc,,199900,189900,TRY,in_stock,"Şehir içi ve şehir dışı kullanım için güçlü, sıvı soğutmalı 250cc maxi scooter modeli.",,TRUE,,2026,Siyah|Gri|Bej,Çin,RKS Motor,,,,,250,1,Tek Silindir,Sıvı Soğutmalı,,,23.46,8000,24,6500,,,CVT (Sürekli Değişken),,,,Benzin,,14,3,4,,2220,780,1390,1530,785,150,195,,,Disk,Disk,,,,120/70-15,140/70-14,,,,,Dijital,,,,,,,,,,,,,TRUE,,,,36,,,,
RKS Blade 250,rks-blade-250,rks,maxi-scooter-250cc,,219900,209900,TRY,in_stock,"Şehir içi ve şehir dışı kullanım için güçlü, sıvı soğutmalı 249cc maxi scooter modeli.",,TRUE,,2026,Beyaz|Siyah|Mavi|Gri,Çin,RKS Motor,,,,,249,1,Tek Silindir,Sıvı Soğutmalı,,,23.10,7000,23.50,6500,,,CVT (Sürekli Değişken),,,,Benzin,,17,,,,2306,820,1343,1548,,,170,,,Disk,Disk,,,,120/70-14,150/70-13,,,,,Dijital,,,,,,,,,,,,,TRUE,,,,36,,,,
RKS Blade 350,rks-blade-350,rks,maxi-scooter-250cc-uzeri,,244000,241500,TRY,in_stock,"Şehir içi ve şehir dışı kullanım için güçlü, sıvı soğutmalı 333cc maxi scooter modeli.",,TRUE,,2026,,Çin,RKS Motor,,,,,333,1,Tek Silindir,Sıvı Soğutmalı,,,29.50,7000,33.50,6500,,,CVT (Sürekli Değişken),,,,Benzin,,17,,,,2306,820,1343,1548,,,170,,,Disk,Disk,,,,120/70-14,150/70-13,,,,,Dijital,,,,,,,,,,,,,TRUE,,,,36,,,,
RKS RK125S,rks-rk125s,rks,touring,,97662,85854,TRY,in_stock,"Şehir içi ve şehir dışı kullanım için pratik, hava soğutmalı 125cc touring motosiklet modeli.",,TRUE,,2026,Beyaz|Kırmızı|Gri|Yeşil,Çin,RKS Motor,,,,,124,1,Tek Silindir,Hava Soğutmalı,,,11.26,8750,9.50,7250,,,Manuel,5,,Zincir,Benzin,,16,,,,2090,790,1090,1350,760,180,125,,,Disk,Disk,,,,90/90-17,120/80-17,,,,LED,Dijital,,,,,,,,,,,,,,TRUE,,,36,,,,
