name,slug,brand_slug,category_slug,product_code,price,discount_price,currency,stock_status,short_description,description,is_featured,is_active,model-yili,renk,mensei-ulke,uretici,oem-kodu,mpn,ean,upc,motor-hacmi,silindir-sayisi,motor-tipi,sogutma-sistemi,supap-sayisi,sikistirma-orani,maksimum-guc,maksimum-guc-devri,maksimum-tork,maksimum-tork-devri,maksimum-hiz-min,Maksimum-hiz-max,sanziman-tipi,vites-sayisi,debriyaj-tipi,son-aktarma-tipi,yakit-turu,yakit-sistemi,yakit-deposu,yakit-tuketimi-min,yakit-tuketimi-max,yakit-deposu-konumu,uzunluk,genislik,yukseklik,dingil-mesafesi,sele-yuksekligi,yerden-yukseklik,bos-agirlik,tasima-kapasitesi,sele-alti-bagaj-hacmi,on-fren,arka-fren,el-freni,on-suspansiyon,arka-suspansiyon,on-lastik,arka-lastik,on-jant,arka-jant,aku,far-tipi,gosterge-paneli,telefon-baglantisi,navigasyon-destegi,usb-sarj-girisi,anahtarsiz-calistirma,duz-taban,on-cam,start-stop-sistemi,idling-stop,akilli-anahtar,arka-portbagaj,ayak-marsi,on-saklama-gozu,abs,cbs,cekis-kontrolu,immobilizer,garanti-suresi,sertifikalar,bakim-talimati,kullanim-talimati,paket-icerigi
RKS SRK125S,rks-srk125s,rks,naked,,145000,135000,TRY,in_stock,"Sportif tasarımlı, sıvı soğutmalı 125cc naked motosiklet modeli.",,TRUE,,2026,,Çin,RKS Motor,,,,,125,1,Tek Silindir,Sıvı Soğutmalı,,,14.75,9500,12.10,7000,,,Manuel,6,,,Benzin,,10,,,,1970,785,1070,1345,790,190,145,,,Disk,Disk,,,,100/80-17,130/70-17,,,,LED,Dijital,,,,,,,,,,,,,,TRUE,,,36,,,,
RKS RZ125,rks-rz125,rks,naked,,140001,132000,TRY,in_stock,"Sportif, agresif tasarımlı, sıvı soğutmalı 125cc naked motosiklet modeli.",,TRUE,,2026,,Çin,RKS Motor,,,,,125,1,Tek Silindir,Sıvı Soğutmalı,,,14.50,9000,13,7000,,,Manuel,6,,,Benzin,,12.5,,,,1990,845,1105,1360,745,185,143,,,Disk,Disk,,,,110/70-17,130/70-17,,,,LED,Dijital,,,,,,,,,,,,,TRUE,,,,36,,,,
RKS SRK250,rks-srk250,rks,naked,,235000,225000,TRY,in_stock,"Çift silindirli, sıvı soğutmalı 249cc naked motosiklet modeli.",,TRUE,,2026,,Çin,RKS Motor,,,,,249,2,Paralel İkiz,Sıvı Soğutmalı,,,31.50,12000,21.20,9000,,,Manuel,6,,,Benzin,,13.5,,,,2080,820,1100,1425,785,150,186,,,Disk,Disk,,,,100/70-17,150/60-17,,,,LED,Dijital,,,,,,,,,,,,,TRUE,,,,36,,,,
RKS SRK250S,rks-srk250s,rks,naked,,210000,200000,TRY,in_stock,"Sportif tasarımlı, sıvı soğutmalı 249cc naked motosiklet modeli.",,TRUE,,2026,,Çin,RKS Motor,,,,,249,1,Tek Silindir,Sıvı Soğutmalı,,,27.50,9500,22.50,7250,,,Manuel,6,,,Benzin,,12.5,,,,2010,802,1110,1370,780,135,186,,,Disk,Disk,,,,110/70-17,140/60-17,,,,LED,Dijital,,,,,,,,,,,,,TRUE,,,,36,,,,
RKS A250,rks-a250,rks,naked,,191360,182000,TRY,in_stock,"Çift silindirli, sıvı soğutmalı 248cc naked motosiklet modeli.",,TRUE,,2026,,Çin,RKS Motor,,,,,248,2,Paralel İkiz,Sıvı Soğutmalı,,,24.67,8000,23.40,6500,,,Manuel,6,,,Benzin,,17,,,,2050,780,1060,1430,,,174,,,Disk,Disk,,,,110/70-17,140/70-17,,,,LED,Dijital,,,,,,,,,,,,,TRUE,,,,36,,,,
RKS M502N,rks-m502n,rks,naked,,272000,260000,TRY,in_stock,"Çift silindirli, sıvı soğutmalı 486cc naked motosiklet modeli.",,TRUE,,2026,,Çin,RKS Motor,,,,,486,2,Paralel İkiz,Sıvı Soğutmalı,,,47,8500,45,6750,,,Manuel,6,,,Benzin,,17,,,,2145,775,1110,1420,,,197,,,Disk,Disk,,,,120/70-17,160/60-17,,,,LED,Dijital,,,,,,,,,,,,,TRUE,,,,36,,,,
RKS SRK550,rks-srk550,rks,naked,,316000,300000,TRY,in_stock,"Çift silindirli, sıvı soğutmalı 554cc naked motosiklet modeli.",,TRUE,,2026,,Çin,RKS Motor,,,,,554,2,Paralel İkiz,Sıvı Soğutmalı,,,55.25,8250,54,5500,,,Manuel,6,,,Benzin,,15,,,,2100,865,1165,1420,810,150,190,,,Disk,Disk,,,,120/70-17,160/60-17,,,,LED,Dijital,,,,,,,,,,,,,TRUE,,TRUE,,36,,,,
