name,slug,brand_slug,category_slug,product_code,price,discount_price,currency,stock_status,short_description,description,is_featured,is_active,model-yili,renk,mensei-ulke,uretici,oem-kodu,mpn,ean,upc,motor-hacmi,silindir-sayisi,motor-tipi,sogutma-sistemi,supap-sayisi,sikistirma-orani,maksimum-guc,maksimum-guc-devri,maksimum-tork,maksimum-tork-devri,maksimum-hiz-min,Maksimum-hiz-max,sanziman-tipi,vites-sayisi,debriyaj-tipi,son-aktarma-tipi,yakit-turu,yakit-sistemi,yakit-deposu,yakit-tuketimi-min,yakit-tuketimi-max,yakit-deposu-konumu,uzunluk,genislik,yukseklik,dingil-mesafesi,sele-yuksekligi,yerden-yukseklik,bos-agirlik,tasima-kapasitesi,sele-alti-bagaj-hacmi,on-fren,arka-fren,el-freni,on-suspansiyon,arka-suspansiyon,on-lastik,arka-lastik,on-jant,arka-jant,aku,far-tipi,gosterge-paneli,telefon-baglantisi,navigasyon-destegi,usb-sarj-girisi,anahtarsiz-calistirma,duz-taban,on-cam,start-stop-sistemi,idling-stop,akilli-anahtar,arka-portbagaj,ayak-marsi,on-saklama-gozu,abs,cbs,cekis-kontrolu,immobilizer,garanti-suresi,sertifikalar,bakim-talimati,kullanim-talimati,paket-icerigi
RKS Wildcat,rks-wildcat,rks,125cc-scooter,,196040,172515,TRY,in_stock,"Hava soğutmalı, şehir içi ulaşım için pratik 125cc scooter modeli.",,TRUE,,2026,,Çin,RKS Motor,,,,,125,1,Tek Silindir,Hava Soğutmalı,,,8.05,7500,8.20,6000,,,CVT (Sürekli Değişken),,,,Benzin,,4.7,,,,1950,650,1060,1290,,,101,251,,Disk,Kampana,,,,80/90-14,90/90-14,,,,LED,Dijital,,,,,,,,,,,,,,TRUE,,,36,,,,
RKS Bitter 50,rks-bitter-50,rks,50cc-scooter,,55000,47500,TRY,in_stock,"Hava soğutmalı, şehir içi ulaşım için ekonomik 50cc scooter modeli.",,TRUE,,2026,,Çin,RKS Motor,,,,,50,1,Tek Silindir,Hava Soğutmalı,,,2.85,7500,2.6,6000,,,CVT (Sürekli Değişken),,,,Benzin,,6.2,,,,1900,705,1135,1350,,,,,,Disk,Kampana,,,,110/70-12,120/70-12,,,,LED,Dijital,,,,,,,,,,,,,,,,,36,,,,
RKS Bitter 125,rks-bitter-125,rks,125cc-scooter,,65000,58000,TRY,in_stock,"Hava soğutmalı, şehir içi ulaşım için pratik 125cc scooter modeli.",,TRUE,,2026,,Çin,RKS Motor,,,,,125,1,Tek Silindir,Hava Soğutmalı,,,8.43,7500,8.2,6000,,,CVT (Sürekli Değişken),,,,Benzin,,6.2,,,,1900,705,1135,1350,,,,,,Disk,Kampana,,,,110/70-12,120/70-12,,,,LED,Dijital,,,,,,,,,,,,,,TRUE,,,36,,,,
RKS Grace 202 Pro,rks-grace-202-pro,rks,150-250cc-arasi-scooter,,90000,82000,TRY,in_stock,"Hava soğutmalı, ABS ve CBS donanımlı 161cc scooter modeli.",,TRUE,,2026,,Çin,RKS Motor,,,,,161,1,Tek Silindir,Hava Soğutmalı,,,9.80,7500,11,6000,,,CVT (Sürekli Değişken),,,,Benzin,,13,,,,1975,770,1170,1390,,,130,280,,Disk,Disk,,,,110/70-13,130/60-13,,,,LED,Dijital,,,,,,,,,,,,,TRUE,TRUE,,,36,,,,
