name,slug,brand_slug,category_slug,product_code,price,currency,stock_status,short_description,description,is_featured,is_active,aku,cekis-kontrolu,maksimum-guc,motor-hacmi,on-fren,on-lastik,on-suspansiyon,quickshifter,renk,uzunluk,arka-fren,arka-lastik,arka-suspansiyon,far-tipi,garanti-suresi,genislik,immobilizer,maksimum-tork,silindir-sayisi,vites-sayisi,abs,debriyaj-tipi,gosterge-paneli,lastik-tipi,maksimum-hiz,model-yili,motor-tipi,yukseklik,cbs,dingil-mesafesi,fiyat,sogutma-sistemi,son-aktarma-tipi,yakit-tuketimi,sele-yuksekligi,yakit-sistemi,yerden-yukseklik,bos-agirlik,yakit-deposu,maksimum-tasima-kapasitesi,sanziman-tipi
RKS RZ125,rks-rz125,rks,motosiklet,RZ125,169740,TRY,in_stock,RKS RZ125 Naked motosiklet.,"RKS RZ125, Naked sınıfında motosiklet.",false,true,,,14.5,125,ABS,110/70-17,,,,1990,ABS,130/70-17,,LED,,845,,13.0,1,6,true,,LCD,,,,dört zamanlı,1105,,1360,169740,su soğutmalı,,,745,benzin,185,143,12.5,,manuel
RKS RZ150,rks-rz150,rks,motosiklet,RZ150,,TRY,in_stock,RKS RZ150 Naked motosiklet.,"RKS RZ150, Naked sınıfında motosiklet.",false,true,,,,,,,,,,,,,,,,,,,,,,,,,,,dört zamanlı,,,,,,,,,benzin,,,,,manuel
RKS SRK250,rks-srk250,rks,motosiklet,SRK250,,TRY,in_stock,RKS SRK250 Naked motosiklet.,"RKS SRK250, Naked sınıfında motosiklet.",false,true,,,31.5,249,ABS,,,,,,ABS,,,,,,,21.2,2,6,true,,,,,,dört zamanlı,,,,,su soğutmalı,,,,benzin,,,,,manuel
RKS SRK250S,rks-srk250s,rks,motosiklet,SRK250S,,TRY,in_stock,RKS SRK250S Naked motosiklet.,"RKS SRK250S, Naked sınıfında motosiklet.",false,true,,,27.5,249,ABS,110/70-17,,,,2010,ABS,140/60-17,,LED,,802,,22.5,1,6,true,,TFT,,,,dört zamanlı,1110,,1370,,su soğutmalı,,,780,benzin,135,186,12.5,,manuel
RKS A250,rks-a250,rks,motosiklet,A250,184500,TRY,in_stock,RKS A250 Naked motosiklet.,"RKS A250, Naked sınıfında motosiklet.",false,true,,,24.67,248,ABS,110/70-17,,,,2050,ABS,140/70-17,,LED,,780,,23.4,2,6,true,,LCD,,,,dört zamanlı,1060,,1430,184500,su soğutmalı,,,,benzin,,174,17,,manuel
RKS M502N,rks-m502n,rks,motosiklet,M502N,319200,TRY,in_stock,RKS M502N Naked motosiklet.,"RKS M502N, Naked sınıfında motosiklet.",false,true,,,47.0,486,ABS,120/70-17,,,,2145,ABS,160/60-17,,LED,,775,,45.0,2,6,true,,LCD,,,,dört zamanlı,1110,,1420,319200,su soğutmalı,,,,benzin,,197,17,,manuel
RKS SRK550,rks-srk550,rks,motosiklet,SRK550,355680,TRY,in_stock,RKS SRK550 Naked motosiklet.,"RKS SRK550, Naked sınıfında motosiklet.",false,true,,true,55.25,554,ABS,120/70-17,MARZOCCHI,,,2100,ABS,160/60-17,,LED,,865,,54.0,2,6,true,,TFT,,,,dört zamanlı,1165,,1420,355680,su soğutmalı,,,810,benzin,150,190,15,,manuel
RKS SRK125R,rks-srk125r,rks,motosiklet,SRK125R,163590,TRY,in_stock,RKS SRK125R Racing motosiklet.,"RKS SRK125R, Racing sınıfında motosiklet.",false,true,,,14.75,125,,110/80-17,,,,2010,,130/70-17,,,,770,,12.1,1,6,,,,,,,dört zamanlı,1125,,1380,163590,su soğutmalı,,,780,benzin,140,152,12.5,,manuel
RKS SRK250RS,rks-srk250rs,rks,motosiklet,SRK250RS,217710,TRY,in_stock,RKS SRK250RS Racing motosiklet.,"RKS SRK250RS, Racing sınıfında motosiklet.",false,true,,,25.47,249,ABS,,,,,,ABS,,,,,,,21.5,1,6,true,,,,,,dört zamanlı,,,,217710,su soğutmalı,,,,benzin,,,,,manuel
RKS R250,rks-r250,rks,motosiklet,R250,229600,TRY,in_stock,RKS R250 Racing motosiklet.,"RKS R250, Racing sınıfında motosiklet.",false,true,,,,,,,,,,,,,,LED,,,,,,,,,digital,,,,dört zamanlı,,,,229600,,,,,benzin,,,,,manuel
