name,slug,brand_slug,category_slug,product_code,price,currency,stock_status,short_description,description,is_featured,is_active,aku,cekis-kontrolu,maksimum-guc,motor-hacmi,on-fren,on-lastik,on-suspansiyon,quickshifter,renk,uzunluk,arka-fren,arka-lastik,arka-suspansiyon,far-tipi,garanti-suresi,genislik,immobilizer,maksimum-tork,silindir-sayisi,vites-sayisi,abs,debriyaj-tipi,gosterge-paneli,lastik-tipi,maksimum-hiz,model-yili,motor-tipi,yukseklik,cbs,dingil-mesafesi,fiyat,sogutma-sistemi,son-aktarma-tipi,yakit-tuketimi,sele-yuksekligi,yakit-sistemi,yerden-yukseklik,bos-agirlik,yakit-deposu,maksimum-tasima-kapasitesi,sanziman-tipi
RKS SRK250RR,rks-srk250rr,rks,motosiklet,SRK250RR,,TRY,in_stock,RKS SRK250RR Racing motosiklet.,"RKS SRK250RR, Racing sınıfında motosiklet.",false,true,,,25.75,249,ABS,,,,,,ABS,,,,,,,24.1,2,6,true,,,,,,dört zamanlı,,,,,su soğutmalı,,,,benzin,,,,,manuel
RKS SRK400RR,rks-srk400rr,rks,motosiklet,SRK400RR,,TRY,in_stock,RKS SRK400RR Racing motosiklet.,"RKS SRK400RR, Racing sınıfında motosiklet.",false,true,,,40.9,400,ABS,,,,,,ABS,,,,,,,37.0,2,6,true,,,,,,dört zamanlı,,,,,su soğutmalı,,,,benzin,,,,,manuel
RKS SRK450RA,rks-srk450ra,rks,motosiklet,SRK450RA,338960,TRY,in_stock,RKS SRK450RA Racing motosiklet.,"RKS SRK450RA, Racing sınıfında motosiklet.",false,true,,,46.94,450,ABS,,,,,,ABS,,,,,,,43.0,2,6,true,,,,,,dört zamanlı,,,,338960,su soğutmalı,,,,benzin,,,,,manuel
RKS SRK550RS,rks-srk550rs,rks,motosiklet,SRK550RS,,TRY,in_stock,RKS SRK550RS Racing motosiklet.,"RKS SRK550RS, Racing sınıfında motosiklet.",false,true,,true,55.25,554,ABS,120/70-17,MARZOCCHI,,,2090,ABS,160/60-17,,LED,,770,,54.0,2,6,true,,LCD,,,,dört zamanlı,1155,,1420,,su soğutmalı,,,810,benzin,140,194,16.5,,manuel
RKS M250,rks-m250,rks,motosiklet,M250,173676,TRY,in_stock,RKS M250 Racing motosiklet.,"RKS M250, Racing sınıfında motosiklet.",false,true,,,18.77,250,ABS,,,,,,ABS,,,,,,,18.0,1,,true,,LCD,,,,dört zamanlı,,,,173676,yağ soğutmalı,,,,benzin,,,,,manuel
RKS RZ125X,rks-rz125x,rks,motosiklet,RZ125X,169740,TRY,in_stock,RKS RZ125X Adventure motosiklet.,"RKS RZ125X, Adventure sınıfında motosiklet.",false,true,,,14.5,125,ABS,,,,,,ABS,,,,,,,13.0,1,6,true,,,,,,dört zamanlı,,,,169740,su soğutmalı,,,,benzin,,,,,manuel
RKS RZ150X,rks-rz150x,rks,motosiklet,RZ150X,,TRY,in_stock,RKS RZ150X Adventure motosiklet.,"RKS RZ150X, Adventure sınıfında motosiklet.",false,true,,,,,,,,,,,,,,,,,,,,,,,,,,,dört zamanlı,,,,,,,,,benzin,,,,,manuel
RKS SVT650X,rks-svt650x,rks,motosiklet,SVT650X,490352,TRY,in_stock,RKS SVT650X Adventure motosiklet.,"RKS SVT650X, Adventure sınıfında motosiklet.",false,true,,,75.1,650,,,,,,,,,,,,,,65.0,2,,,,,,,,dört zamanlı,,,,490352,su soğutmalı,,,,benzin,,,,,manuel
RKS SRT800SX,rks-srt800sx,rks,motosiklet,SRT800SX,,TRY,in_stock,RKS SRT800SX Adventure motosiklet.,"RKS SRT800SX, Adventure sınıfında motosiklet.",false,true,,,91.2,799,ABS,110/80-19,MARZOCCHI,,,2260,ABS,150/70-17,,LED,,950,,77.0,2,6,true,,LCD,,,,dört zamanlı,1405,,1540,,su soğutmalı,,,835,benzin,180,241,24,,manuel
RKS SRT900SX,rks-srt900sx,rks,motosiklet,SRT900SX,568480,TRY,in_stock,RKS SRT900SX Adventure motosiklet.,"RKS SRT900SX, Adventure sınıfında motosiklet.",false,true,,true,93.87,904,ABS,110/80-19,MARZOCCHI,true,,2250,ABS,150/70-17,,LED,,950,,90.0,2,6,true,,TFT,,,,dört zamanlı,1390,,1540,568480,su soğutmalı,,,815,benzin,210,257,24,,manuel
