name,slug,brand_slug,category_slug,product_code,price,discount_price,currency,stock_status,short_description,description,is_featured,is_active,model-yili,renk,mensei-ulke,uretici,oem-kodu,mpn,ean,upc,motor-hacmi,silindir-sayisi,motor-tipi,sogutma-sistemi,supap-sayisi,sikistirma-orani,maksimum-guc,maksimum-guc-devri,maksimum-tork,maksimum-tork-devri,maksimum-hiz-min,Maksimum-hiz-max,sanziman-tipi,vites-sayisi,debriyaj-tipi,son-aktarma-tipi,yakit-turu,yakit-sistemi,yakit-deposu,yakit-tuketimi-min,yakit-tuketimi-max,yakit-deposu-konumu,uzunluk,genislik,yukseklik,dingil-mesafesi,sele-yuksekligi,yerden-yukseklik,bos-agirlik,tasima-kapasitesi,sele-alti-bagaj-hacmi,on-fren,arka-fren,el-freni,on-suspansiyon,arka-suspansiyon,on-lastik,arka-lastik,on-jant,arka-jant,aku,far-tipi,gosterge-paneli,telefon-baglantisi,navigasyon-destegi,usb-sarj-girisi,anahtarsiz-calistirma,duz-taban,on-cam,start-stop-sistemi,idling-stop,akilli-anahtar,arka-portbagaj,ayak-marsi,on-saklama-gozu,abs,cbs,cekis-kontrolu,immobilizer,garanti-suresi,sertifikalar,bakim-talimati,kullanim-talimati,paket-icerigi,vinc-kapasitesi,cekme-gucu,diferansiyel-kilidi,on-tampon,celik-raf,plastik-raf,on-raf-kapasitesi,arka-raf-kapasitesi,cekici-apartlari,gidon-korumasi,eps,ebs,beadlock-jant,sasi-malzemesi,arac-sinifi
RKS SFA 600,rks-sfa-600,rks,atv-4-ceker,,730000,700000,TRY,in_stock,"Sıvı soğutmalı, 4 çeker, vinçli 577cc ATV modeli.",,TRUE,,2026,,Çin,RKS Motor,,,,,577,1,Tek Silindir,Sıvı Soğutmalı,,,49,7300,55,5500,,,CVT (Sürekli Değişken),,,,Benzin,,25,,,,2299,1219,1440,1480,,300,410,,,Disk,Disk,,,,25x8-12,25x10-12,,,,LED,Dijital,,,,,,,,,,,,,,,,,36,,,,,1500,,,,,,,,,,,,,,
RKS SFA 1000,rks-sfa-1000,rks,atv-4-ceker,,1000000,960000,TRY,in_stock,"Sıvı soğutmalı V-Twin motorlu, EPS'li, 4 çeker, vinçli 976cc ATV modeli.",,TRUE,,2026,,Çin,RKS Motor,,,,,976,2,V2 (V-Twin),Sıvı Soğutmalı,,,91,7300,95,5500,,,CVT (Sürekli Değişken),,,,Benzin,,25,,,,2300,1250,1320,1480,,300,485,,,Disk,Disk,,,,27x9-R14,27x11-R14,,,,LED,Dijital,,,,,,,,,,,,,,,,,36,,,,,1500,,,,,,,,,,TRUE,,,,
RKS BENDA Redstone550 R2 DL,rks-benda-redstone550-r2-dl,rks,atv-4-ceker,,670320,650000,TRY,in_stock,"Sıvı soğutmalı SOHC ikiz motorlu, ABS'li, 4 çeker, vinçli 498cc ATV modeli.",,TRUE,,2026,,,Benda,,,,,498,2,Paralel İkiz,Sıvı Soğutmalı,,,42,,63,5500,,,CVT (Sürekli Değişken),,,,Benzin,,30,,,,2365,1245,1450,1500,950,305,425,,,Disk,Disk,,,,26x9-14,26x11-14,,,,LED,Dijital,,,,,,,,,,,,,TRUE,,,,36,,,,,900,,,,,,,,,,,,,,
