name,slug,brand_slug,category_slug,product_code,price,discount_price,currency,stock_status,short_description,description,is_featured,is_active,model-yili,renk,mensei-ulke,uretici,oem-kodu,mpn,ean,upc,motor-hacmi,silindir-sayisi,motor-tipi,sogutma-sistemi,supap-sayisi,sikistirma-orani,maksimum-guc,maksimum-guc-devri,maksimum-tork,maksimum-tork-devri,maksimum-hiz-min,Maksimum-hiz-max,sanziman-tipi,vites-sayisi,debriyaj-tipi,son-aktarma-tipi,yakit-turu,yakit-sistemi,yakit-deposu,yakit-tuketimi-min,yakit-tuketimi-max,yakit-deposu-konumu,uzunluk,genislik,yukseklik,dingil-mesafesi,sele-yuksekligi,yerden-yukseklik,bos-agirlik,tasima-kapasitesi,sele-alti-bagaj-hacmi,on-fren,arka-fren,el-freni,on-suspansiyon,arka-suspansiyon,on-lastik,arka-lastik,on-jant,arka-jant,aku,far-tipi,gosterge-paneli,telefon-baglantisi,navigasyon-destegi,usb-sarj-girisi,anahtarsiz-calistirma,duz-taban,on-cam,start-stop-sistemi,idling-stop,akilli-anahtar,arka-portbagaj,ayak-marsi,on-saklama-gozu,abs,cbs,cekis-kontrolu,immobilizer,garanti-suresi,sertifikalar,bakim-talimati,kullanim-talimati,paket-icerigi
RKS RZ125X,rks-rz125x,rks,adventure,,179400,152025,TRY,in_stock,"Sıvı soğutmalı, uzun yol ve arazi kullanımına uygun 125cc adventure motosiklet modeli.",,TRUE,,2026,,Çin,RKS Motor,,,,,125,1,Tek Silindir,Sıvı Soğutmalı,,,14.50,9000,13,7000,,,Manuel,6,,,Benzin,,12.5,,,,1990,845,1105,1360,770,198,143,,,Disk,Disk,,,,110/70-17,130/70-17,,,,LED,Dijital,,,,,,,,,,,,,TRUE,,,,36,,,,
RKS RZ150X,rks-rz150x,rks,adventure,,157900,135900,TRY,in_stock,"Sıvı soğutmalı, uzun yol ve arazi kullanımına uygun 150cc adventure motosiklet modeli.",,TRUE,,2026,,Çin,RKS Motor,,,,,150,1,Tek Silindir,Sıvı Soğutmalı,,,18.77,9250,16,7500,,,Manuel,6,,,Benzin,,12.5,,,,1990,845,1105,1360,770,198,143,,,Disk,Disk,,,,110/70-17,130/70-17,,,,LED,Dijital,,,,,,,,,,,,,TRUE,,,,36,,,,
RKS SVT650X,rks-svt650x,rks,adventure,,395660,380000,TRY,in_stock,"V2 motorlu, sıvı soğutmalı, uzun yol ve arazi kullanımına uygun 645cc adventure motosiklet modeli.",,TRUE,,2026,,Çin,RKS Motor,,,,,645,2,V2 (V-Twin),Sıvı Soğutmalı,,,75.10,9000,65,8000,,,Manuel,6,,,Benzin,,20,,,,2270,950,1405,1505,830,170,236,,,Disk,Disk,,,,110/80 R19,150/70 R17,,,,LED,Dijital,TRUE,,TRUE,,,TRUE,,,,TRUE,,,TRUE,,,,36,,,,
RKS SRT800SX,rks-srt800sx,rks,adventure,,458586,403556,TRY,in_stock,"Çift silindirli, sıvı soğutmalı, uzun yol ve arazi kullanımına uygun 799cc adventure motosiklet modeli.",,TRUE,,2026,,Çin,RKS Motor,,,,,799,2,Paralel İkiz,Sıvı Soğutmalı,,,91.20,9000,77,8000,,,Manuel,6,,,Benzin,,24,,,,2260,950,1405,1540,835,180,241,,,Disk,Disk,,,,110/80 R19,150/70 R17,,,,LED,Dijital,,,,,,,,,,,,,TRUE,,,,36,,,,
RKS SRT900SX/SRT902S,rks-srt900sx-srt902s,rks,adventure,,480000,430000,TRY,in_stock,"Çift silindirli, sıvı soğutmalı, ısıtmalı gidon/sele donanımlı 904cc adventure motosiklet modeli.",,TRUE,,2026,,Çin,RKS Motor,,,,,904,2,Paralel İkiz,Sıvı Soğutmalı,,,93.87,9000,90,6500,,,Manuel,6,,,Benzin,,24,,,,2250,950,1390,1540,815,210,257,,,Disk,Disk,,,,110/80 R19,150/70 R17,,,,LED,Dijital,TRUE,TRUE,,,,,,,,,,,TRUE,,TRUE,,36,,,,
