name,slug,brand_slug,category_slug,product_code,price,discount_price,currency,stock_status,short_description,description,is_featured,is_active,model-yili,renk,mensei-ulke,uretici,oem-kodu,mpn,ean,upc,motor-hacmi,silindir-sayisi,motor-tipi,sogutma-sistemi,supap-sayisi,sikistirma-orani,maksimum-guc,maksimum-guc-devri,maksimum-tork,maksimum-tork-devri,maksimum-hiz-min,Maksimum-hiz-max,sanziman-tipi,vites-sayisi,debriyaj-tipi,son-aktarma-tipi,yakit-turu,yakit-sistemi,yakit-deposu,yakit-tuketimi-min,yakit-tuketimi-max,yakit-deposu-konumu,uzunluk,genislik,yukseklik,dingil-mesafesi,sele-yuksekligi,yerden-yukseklik,bos-agirlik,tasima-kapasitesi,sele-alti-bagaj-hacmi,on-fren,arka-fren,el-freni,on-suspansiyon,arka-suspansiyon,on-lastik,arka-lastik,on-jant,arka-jant,aku,far-tipi,gosterge-paneli,telefon-baglantisi,navigasyon-destegi,usb-sarj-girisi,anahtarsiz-calistirma,duz-taban,on-cam,start-stop-sistemi,idling-stop,akilli-anahtar,arka-portbagaj,ayak-marsi,on-saklama-gozu,abs,cbs,cekis-kontrolu,immobilizer,garanti-suresi,sertifikalar,bakim-talimati,kullanim-talimati,paket-icerigi
Kuba Çita 50RX,kuba-cita-50rx,kuba,klasik,,65023,61000,TRY,in_stock,"Klasik görünümlü, hava soğutmalı, 5 vitesli manuel şanzımanlı motosiklet modeli.",,TRUE,,2026,,Çin,Kuba Motor,,,,,50,1,Tek Silindir,Hava Soğutmalı,,,3.75,9500,3.20,8000,,,Manuel,,,,Benzin,,8.5,,,,1960,750,1130,1250,,,110,260,,Disk,Kampana,,,,2.25-17,2.25-17,,,,,,,,,,,,,,,,,,,,,,24,,,,
Kuba CG50 RX Pro,kuba-cg50-rx-pro,kuba,klasik,,71635,66000,TRY,in_stock,"Klasik görünümlü, hava soğutmalı, 5 vitesli manuel şanzımanlı, geniş jant/lastik ölçülü motosiklet modeli.",,TRUE,,2026,,Çin,Kuba Motor,,,,,50,1,Tek Silindir,Hava Soğutmalı,,,3.75,9500,3.20,8000,,,Manuel,,,,Benzin,,9,,,,1960,750,1130,1250,,,110,260,,Disk,Kampana,,,,2.50-18,2.75-18,,,,,,,,,,,,,,,,,,,,,,24,,,,
Kuba Çita 50RX Gold,kuba-cita-50rx-gold,kuba,klasik,,78228,72000,TRY,in_stock,"Klasik görünümlü, hava soğutmalı, 5 vitesli manuel şanzımanlı, kompakt gövdeli özel trim motosiklet modeli.",,TRUE,,2026,,Çin,Kuba Motor,,,,,50,1,Tek Silindir,Hava Soğutmalı,,,3.75,9500,3.20,8000,,,Manuel,,,,Benzin,,9,,,,1895,740,1010,1240,,,110,260,,Disk,Kampana,,,,2.25-17,2.50-17,,,,,,,,,,,,,,,,,,,,,,24,,,,
