name,slug,brand_slug,category_slug,product_code,price,currency,stock_status,short_description,description,is_featured,is_active,aku,cekis-kontrolu,maksimum-guc,motor-hacmi,on-fren,on-lastik,on-suspansiyon,quickshifter,renk,uzunluk,arka-fren,arka-lastik,arka-suspansiyon,far-tipi,garanti-suresi,genislik,immobilizer,maksimum-tork,silindir-sayisi,vites-sayisi,abs,debriyaj-tipi,gosterge-paneli,lastik-tipi,maksimum-hiz,model-yili,motor-tipi,yukseklik,cbs,dingil-mesafesi,fiyat,sogutma-sistemi,son-aktarma-tipi,yakit-tuketimi,sele-yuksekligi,yakit-sistemi,yerden-yukseklik,bos-agirlik,yakit-deposu,maksimum-tasima-kapasitesi,sanziman-tipi
Kuba Çita 50RX,kuba-cita-50rx,kuba,motosiklet,CITA50RX,65000,TRY,in_stock,Kuba Çita 50RX Klasik motosiklet.,"Kuba Çita 50RX, Klasik sınıfında motosiklet. 
B ehliyetle sürülebilir",false,true,12,false,3.75,50,disk,2.25-17,Teleskopik çatal ,false,beyaz,1895,kampana,2.50-17,Çift (Sağ-Sol) Helezonik Yaylı Amortisör ,LED,2,740,false,3.2,1,5,false,Otomatik santrifüj debriyaj ,analog,dublex,60,2023,dört zamanlı,1010,false,1240,55000,hava soğutmalı,zincir,2.5,113,benzin,113,110,9,260,manuel
Kuba CG50 RX Pro,kuba-cg50-rx-pro,kuba,motosiklet,CG50RXPRO,65987,TRY,in_stock,Kuba CG50 RX Pro Klasik motosiklet.,"Kuba CG50 RX Pro, Klasik sınıfında motosiklet.",false,true,,,3.75,50,,2.50-18,,,,1960,,2.75-18,,,,750,,3.2,1,5,,,,,,,dört zamanlı,1130,,1250,65987,hava soğutmalı,,,,benzin,,110,9,260,manuel
Kuba TK03,kuba-tk03,kuba,motosiklet,TK03,76568,TRY,in_stock,Kuba TK03 Touring motosiklet.,"Kuba TK03, Touring sınıfında motosiklet.",false,true,,,2.69,50,,2.75-18,,,,2040,,90/90-18,,,,730,,3.8,1,5,,,,,,,dört zamanlı,1110,,1330,76568,hava soğutmalı,,,,benzin,,110,16,260,manuel
Kuba Superlight 125,kuba-superlight-125,kuba,motosiklet,SUPERLIGHT125,135300,TRY,in_stock,Kuba Superlight 125 Chopper motosiklet.,"Kuba Superlight 125, Chopper sınıfında motosiklet.",false,true,,,10.46,124,,110/90-16,,,,2230,,130/90-15,,,,850,,8.9,1,5,,,,,,,dört zamanlı,1150,,1440,135300,hava soğutmalı,,,,benzin,,162,12.5,352,manuel
Kuba KB50-9,kuba-kb50-9,kuba,motosiklet,KB509,77697,TRY,in_stock,Kuba KB50-9 Chopper motosiklet.,"Kuba KB50-9, Chopper sınıfında motosiklet.",false,true,,,3.75,50,,2.75-18,,,,2020,,110/90-16,,,,820,,3.2,1,5,,,,,,,dört zamanlı,1100,,1300,77697,hava soğutmalı,,,,benzin,,128,15,288,manuel
Kuba Race 125,kuba-race-125,kuba,motosiklet,RACE125,94679,TRY,in_stock,Kuba Race 125 Cross motosiklet.,"Kuba Race 125, Cross sınıfında motosiklet.",false,true,,,11.39,125,,90/90-19,,,,2000,,110/90-17,,,,825,,10.5,1,5,,,,,,,dört zamanlı,1140,,1350,94679,hava soğutmalı,,,,benzin,,120,5.7,,manuel
RKS GTR50,rks-gtr50,rks,motosiklet,GTR50,83640,TRY,in_stock,RKS GTR50 Touring motosiklet.,"RKS GTR50, Touring sınıfında motosiklet.",false,true,,,2.69,50,,2.75-18,,,,2503,,90/90-18,,LED,,730,,3.8,1,5,,,digital,,,,dört zamanlı,1110,,1330,83640,hava soğutmalı,,,,benzin,,110,16,260,manuel
RKS RK125S,rks-rk125s,rks,motosiklet,RK125S,97662,TRY,in_stock,RKS RK125S Touring motosiklet.,"RKS RK125S, Touring sınıfında motosiklet.",false,true,,,11.26,124,CBS,90/90-17,,,,2090,,120/80-17,,LED,,790,,9.5,1,5,,,LCD,,,,dört zamanlı,1090,true,1350,97662,hava soğutmalı,,,760,benzin,180,125,16,,manuel
RKS RK250S,rks-rk250s,rks,motosiklet,RK250S,186960,TRY,in_stock,RKS RK250S Touring motosiklet.,"RKS RK250S, Touring sınıfında motosiklet.",false,true,,,28.16,249,ABS,110/70-17,,,,2060,ABS,130/70-17,,LED,,750,,22.0,1,6,true,,LCD,,,,dört zamanlı,1100,,1370,186960,su soğutmalı,,,805,benzin,200,150,18,,manuel
RKS SRK125S,rks-srk125s,rks,motosiklet,SRK125S,169740,TRY,in_stock,RKS SRK125S Naked motosiklet.,"RKS SRK125S, Naked sınıfında motosiklet.",false,true,,,14.75,125,CBS,100/80-17,,,,1970,,130/70-17,,LED,,785,,12.1,1,6,,,LCD,,,,dört zamanlı,1070,true,1345,169740,su soğutmalı,,,790,benzin,190,145,10,,manuel
