name,slug,product_code,brand_slug,category_slug,price,discount_price,currency,stock_status,short_description,description,is_featured,is_active,model-yili,renk,mensei-ulke,uretici,garanti-suresi,sertifikalar,bakim-talimati,kullanim-talimati,paket-icerigi,oem-kodu,mpn,ean,upc,maksimum-hiz-min,maksimum-hiz-max,uzunluk,genislik,yukseklik,dingil-mesafesi,sele-yuksekligi,yerden-yukseklik,bos-agirlik,tasima-kapasitesi,sele-alti-bagaj-hacmi,on-fren,arka-fren,abs,cbs,el-freni,cekis-kontrolu,immobilizer,on-suspansiyon,arka-suspansiyon,on-lastik,arka-lastik,on-jant,arka-jant,far-tipi,gosterge-paneli,telefon-baglantisi,navigasyon-destegi,duz-taban,on-cam,akilli-anahtar,anahtarsiz-calistirma,usb-sarj-girisi,arka-portbagaj,on-saklama-gozu,elektrikli-motor-gucu,elektrikli-motor-tipi,surus-modlari,elektrikli-batarya-kapasitesi,elektrikli-batarya-tipi,elektrikli-batarya-garantisi,elektrikli-sarj-suresi-min,elektrikli-sarj-suresi-max,hizli-sarj-destegi,sarj-soketi-tipi,elektrikli-menzil-min,elektrikli-menzil-max
Kuba Gree 08,kuba-gree-08,,kuba,e-scooter,39990,,TRY,in_stock,"72V 20Ah bataryalı, çift modlu (25/45 km/h) elektrikli scooter.",,TRUE,TRUE,2026,,Çin,Kuba Motor,24,,,,,,,,,25,45,1710,730,1155,,,,,,,Disk,Kampana,,,,,,,,3.0-10,3.0-10,,,,Dijital,,,,,,,,,,1200W,,,72V-20Ah,,,2,8,,,70,80
Kuba Neron X,kuba-neron-x,,kuba,e-scooter,,,TRY,in_stock,"Yüksek güçlü, 72V bataryalı performans elektrikli scooter.",,TRUE,TRUE,2026,,Türkiye,Kuba,24,,,,,,,,,70,70,1820,735,1090,,,,,,,Disk,Kampana,,,,,,,,90/70-12,90/70-12,,,,,,,,,,,,,,2000W,,,72V-35Ah,,,3,4,,,70,80
Kuba REE1500,kuba-ree1500,,kuba,e-scooter,42180,,TRY,in_stock,"60V bataryalı, geniş taşıma kapasiteli elektrikli scooter.",,TRUE,TRUE,2026,,Türkiye,Kuba,24,,,,,,,,,45,45,1731,703,1058,1250,,,63,213,,Disk,Kampana,,,,,,,,3.0-10,3.0-10,,,,,,,,,,,,,,1000W,,,60V-20Ah,,,6,8,,,50,70
Kuba MT3 PROX,kuba-mt3-prox,,kuba,e-scooter,58292,,TRY,in_stock,"3000W güçlü, grafen bataryalı, çift modlu elektrikli scooter.",,TRUE,TRUE,2026,,Türkiye,Kuba,24,,,,,,,,,25,55,1900,725,1130,,,,,175,,Disk,Kampana,,,,,,,,90/80-12,90/80-12,,,,,,,,,,,,,,3000W,,,72V-20Ah,Grafen,,4,8,,,40,60
Kuba Blues,kuba-blues,,kuba,e-scooter,,,TRY,in_stock,"60V bataryalı, şehir içi kullanım için kompakt elektrikli scooter.",,TRUE,TRUE,2026,,Türkiye,Kuba,24,,,,,,,,,25,25,1730,680,1635,,,,,,,Disk,Kampana,,,,,,,,90/90-10,90/90-10,,,,,,,,,,,,,,1200W,,,60V-20Ah,,,6,8,,,60,70
